"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country/Region,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",sales_num,profit_num,quantity_num,discount_num
1,CA-2020-152156,11/8/2020,11/11/2020,"Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96,41.91,2.0,0.0
2,CA-2020-152156,11/8/2020,11/11/2020,"Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.58,3.0,0.0
3,CA-2020-138688,6/12/2020,6/16/2020,"Second Class",DV-13045,"Darrin Van Huff",Corporate,"United States","Los Angeles",California,90036,West,OFF-LA-10000240,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal",14.62,6.87,2.0,0.0
4,US-2019-108966,10/11/2019,10/18/2019,"Standard Class",SO-20335,"Sean O'Donnell",Consumer,"United States","Fort Lauderdale",Florida,33311,South,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.58,-383.03,5.0,0.45
5,US-2019-108966,10/11/2019,10/18/2019,"Standard Class",SO-20335,"Sean O'Donnell",Consumer,"United States","Fort Lauderdale",Florida,33311,South,OFF-ST-10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",22.37,2.52,2.0,0.2
6,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.17,7.0,0.0
7,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,OFF-AR-10002833,"Office Supplies",Art,"Newell 322",7.28,1.97,4.0,0.0
8,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.15,90.72,6.0,0.2
9,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,OFF-BI-10003910,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill",18.5,5.78,3.0,0.2
10,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,OFF-AP-10002892,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",114.9,34.47,5.0,0.0
11,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.18,85.31,9.0,0.2
12,CA-2018-115812,6/9/2018,6/14/2018,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.42,68.36,4.0,0.2
13,CA-2021-114412,4/15/2021,4/20/2021,"Standard Class",AA-10480,"Andrew Allen",Consumer,"United States",Concord,"North Carolina",28027,South,OFF-PA-10002365,"Office Supplies",Paper,"Xerox 1967",15.55,5.44,3.0,0.2
14,CA-2020-161389,12/5/2020,12/10/2020,"Standard Class",IM-15070,"Irene Maddox",Consumer,"United States",Seattle,Washington,98103,West,OFF-BI-10003656,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",407.98,132.59,3.0,0.2
15,US-2019-118983,11/22/2019,11/26/2019,"Standard Class",HP-14815,"Harold Pawlan","Home Office","United States","Fort Worth",Texas,76106,Central,OFF-AP-10002311,"Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.86,5.0,0.8
16,US-2019-118983,11/22/2019,11/26/2019,"Standard Class",HP-14815,"Harold Pawlan","Home Office","United States","Fort Worth",Texas,76106,Central,OFF-BI-10000756,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",2.54,-3.82,3.0,0.8
17,CA-2018-105893,11/11/2018,11/18/2018,"Standard Class",PK-19075,"Pete Kriz",Consumer,"United States",Madison,Wisconsin,53711,Central,OFF-ST-10004186,"Office Supplies",Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.32,6.0,0.0
18,CA-2018-167164,5/13/2018,5/15/2018,"Second Class",AG-10270,"Alejandro Grove",Consumer,"United States","West Jordan",Utah,84084,West,OFF-ST-10000107,"Office Supplies",Storage,"Fellowes Super Stor/Drawer",55.5,9.99,2.0,0.0
19,CA-2018-143336,8/27/2018,9/1/2018,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,94109,West,OFF-AR-10003056,"Office Supplies",Art,"Newell 341",8.56,2.48,2.0,0.0
20,CA-2018-143336,8/27/2018,9/1/2018,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,94109,West,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,16.01,3.0,0.2
21,CA-2018-143336,8/27/2018,9/1/2018,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,94109,West,OFF-BI-10002215,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,7.38,4.0,0.2
22,CA-2020-137330,12/9/2020,12/13/2020,"Standard Class",KB-16585,"Ken Black",Corporate,"United States",Fremont,Nebraska,68025,Central,OFF-AR-10000246,"Office Supplies",Art,"Newell 318",19.46,5.06,7.0,0.0
23,CA-2020-137330,12/9/2020,12/13/2020,"Standard Class",KB-16585,"Ken Black",Corporate,"United States",Fremont,Nebraska,68025,Central,OFF-AP-10001492,"Office Supplies",Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,15.69,7.0,0.0
24,US-2021-156909,7/16/2021,7/18/2021,"Second Class",SF-20065,"Sandra Flanagan",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,-1.02,2.0,0.3
